word,pos,lemma
abertas,VERB,abrir
aberta,VERB,abrir
abertos,VERB,abrir
aberto,VERB,abrir
abre,VERB,abrir
aconteça,VERB,acontecer
adicionais,ADJ,adicional
admitem,VERB,admitir
admite,VERB,admitir
adquire,VERB,adquirir
advém,VERB,advir
adverte,VERB,advertir
agem,VERB,agir
agradeço,VERB,agradecer
álcoois,NOUN,álcool
ambientais,ADJ,ambiental
ambulatoriais,ADJ,ambulatorial
anéis,NOUN,anel
animais,NOUN,animal
antimísseis,ADJ,antimíssil
anuais,ADJ,anual
anunciassem,VERB,anunciar
apareça,VERB,aparecer
aprazíveis,ADJ,aprazível
apreendidas,VERB,apreender
aprenda,VERB,aprender
aprendi,VERB,aprender
aprendo,VERB,aprender
artesanais,ADJ,artesanal
artificiais,ADJ,artificial
assista,VERB,assistir
assistenciais,ADJ,assistencial
assiste,VERB,assistir
assuma,VERB,assumir
assume,VERB,assumir
atendidas,VERB,atender
atingem,VERB,atingir
atinge,VERB,atingir
atinja,VERB,atingir
atraem,VERB,atrair
atuais,ADJ,atual
automóveis,NOUN,automóvel
autorais,ADJ,autoral
avançassem,VERB,avançar
avó,NOUN,avô
avós,NOUN,avô
banais,ADJ,banal
bandinha,NOUN,banda
bandinhas,NOUN,banda
barriguinha,NOUN,barriga
barris,NOUN,barril
bilaterais,ADJ,bilateral
biodegradáveis,ADJ,biodegradável
bissexuais,NOUN,bissexual
brevíssimos,ADJ,breve
busquem,VERB,buscar
caem,VERB,cair
caídos,VERB,cair
caímos,VERB,cair
caíram,VERB,cair
caminhonete,NOUN,caminhão
campi,NOUN,campus
camponeses,NOUN,camponês
canais,NOUN,canal
capitais,ADJ,capital
capitais,NOUN,capital
cartagineses,NOUN,cartaginês
cartéis,NOUN,cartel
cartinhas,NOUN,carta
cedidas,VERB,ceder
cereais,NOUN,cereal
cerebrais,ADJ,cerebral
cestinha,NOUN,cesta
chinesa,ADJ,chinês
chinesa,NOUN,chinês
chinesas,ADJ,chinês
chineses,NOUN,chinês
civis,ADJ,civil
civis,NOUN,civil
cobertas,VERB,cobrir
coberta,VERB,cobrir
cobertos,VERB,cobrir
colhidas,VERB,colher
coloquei,VERB,colocar
combustíveis,ADJ,combustível
combustíveis,NOUN,combustível
comensais,NOUN,comensal
comerciais,ADJ,comercial
cometidas,VERB,cometer
como,VERB,comer
compatíveis,ADJ,compatível
compete,VERB,competir
compõe,VERB,compor
composicionais,ADJ,composicional
compostos,VERB,compor
compôs,VERB,compor
compreenda,VERB,compreender
comprinhas,NOUN,compra
compunham,VERB,compor
comunicassem,VERB,comunicar
concedidas,VERB,conceder
conceituais,ADJ,conceitual
conclua,VERB,concluir
concluídas,VERB,concluir
concluídos,VERB,concluir
concluíram,VERB,concluir
confere,VERB,conferir
confiáveis,ADJ,confiável
confiram,VERB,conferir
confunde,VERB,confundir
conheçamos,VERB,conhecer
conheça,VERB,conhecer
conhecidas,VERB,conhecer
conheci,VERB,conhecer
conheço,VERB,conhecer
consegue,VERB,conseguir
conseguem,VERB,conseguir
consegue,VERB,conseguir
consigam,VERB,conseguir
consistem,VERB,consistir
consiste,VERB,consistir
constituem,VERB,constituir
constituía,VERB,constituir
constrói,VERB,construir
construídos,VERB,construir
construímos,VERB,construir
construíram,VERB,construir
contábeis,ADJ,contábil
contentassem,VERB,contentar
continentais,ADJ,continental
continha,VERB,conter
contratuais,ADJ,contratual
contribua,VERB,contribuir
contribuem,VERB,contribuir
contribuíram,VERB,contribuir
convencê,VERB,convencer
convenhamos,VERB,convir
corais,NOUN,coral
cospem,VERB,cuspir
coube,VERB,caber
cresça,VERB,crescer
crê,VERB,crer
cristais,NOUN,cristal
cruciais,ADJ,crucial
culturais,ADJ,cultural
cumpra,VERB,cumprir
cumprem,VERB,cumprir
cumpre,VERB,cumprir
decibéis,NOUN,decibel
decida,VERB,decidir
decide,VERB,decidir
defenda,VERB,defender
defendê,VERB,defender
definem,VERB,definir
define,VERB,definir
descobertas,VERB,descobrir
descoberta,VERB,descobrir
descoberto,VERB,descobrir
descobrem,VERB,descobrir
descobre,VERB,descobrir
descritas,VERB,descrever
descubra,VERB,descobrir
descumpra,VERB,descumprir
desenvolvidas,VERB,desenvolver
desfavoráveis,ADJ,desfavorável
desista,VERB,desistir
desprezíveis,ADJ,desprezível
destrua,VERB,destruir
destruídas,VERB,destruir
destruíram,VERB,destruir
destruí,VERB,destruir
detinham,VERB,deter
detinha,VERB,deter
deva,VERB,dever
devidas,VERB,dever
devo,VERB,dever
devolva,VERB,devolver
devolvidas,VERB,devolver
diferem,VERB,diferir
difíceis,ADJ,difícil
digamos,VERB,dizer
diga,VERB,dizer
digitais,ADJ,digital
diminua,VERB,diminuir
diminuíram,VERB,diminuir
dinamarquesa,NOUN,dinamarquês
dirigem,VERB,dirigir
discutem,VERB,discutir
discute,VERB,discutir
dispensáveis,ADJ,dispensável
dispõe,VERB,dispor
disponíveis,ADJ,disponível
disseram,VERB,dizer
dissera,VERB,dizer
disser,VERB,dizer
distingue,VERB,distinguir
distribuídas,VERB,distribuir
distribuídos,VERB,distribuir
diverge,VERB,divergir
divertem,VERB,divertir
diverte,VERB,divertir
dividem,VERB,dividir
divide,VERB,dividir
divido,VERB,dividir
diz,VERB,dizer
diz,VERB,dizer
documentais,ADJ,documental
dói,VERB,doer
é,VERB,ser
editais,NOUN,edital
editoriais,ADJ,editorial
educacionais,ADJ,educacional
eleitorais,ADJ,eleitoral
eleitos,VERB,eleger
embute,VERB,embutir
emerge,VERB,emergir
emite,VERB,emitir
emocionais,ADJ,emocional
empresariais,ADJ,empresarial
entenda,VERB,entender
entendidas,VERB,entender
entendo,VERB,entender
envolvidas,VERB,envolver
ervais,NOUN,erval
esclarecidas,VERB,esclarecer
escocesa,ADJ,escocês
escolha,VERB,escolher
escolhi,VERB,escolher
escreva,VERB,escrever
escrevo,VERB,escrever
escritas,VERB,escrever
esculturais,ADJ,escultural
espaciais,ADJ,espacial
espanhóis,ADJ,espanhol
espanhóis,NOUN,espanhol
especiais,ADJ,especial
esqueça,VERB,esquecer
esquecidas,VERB,esquecer
estabelecidas,VERB,estabelecer
estaduais,ADJ,estadual
estatais,ADJ,estatal
estáveis,ADJ,estável
estruturais,ADJ,estrutural
estudantis,ADJ,estudantil
européia,ADJ,europeu
europeia,ADJ,europeu
europeias,ADJ,europeu
eventuais,ADJ,eventual
é,VERB,ser
excluem,VERB,excluir
excluídos,VERB,excluir
exibem,VERB,exibir
exibe,VERB,exibir
exigem,VERB,exigir
exige,VERB,exigir
exista,VERB,existir
existem,VERB,existir
existe,VERB,existir
expandem,VERB,expandir
expande,VERB,expandir
experimentais,ADJ,experimental
expõe,VERB,expor
expostos,VERB,expor
expôs,VERB,expor
extraídos,VERB,extrair
façamos,VERB,fazer
faça,VERB,fazer
fáceis,ADJ,fácil
faço,VERB,fazer
fantasminha,NOUN,fantasma
faríamos,VERB,fazer
faróis,NOUN,farol
fatais,ADJ,fatal
favoráveis,ADJ,favorável
fazê,VERB,fazer
faz,VERB,fazer
federais,ADJ,federal
feitos,VERB,fazer
feitos,VERB,fazer
fez,VERB,fazer
fez,VERB,fazer
ficassem,VERB,ficar
finais,ADJ,final
finais,NOUN,final
fingem,VERB,fingir
fiquei,VERB,ficar
fiquei,VERB,ficar
fiquem,VERB,ficar
fiscais,ADJ,fiscal
fiscais,NOUN,fiscal
físseis,ADJ,físsil
fizemos,VERB,fazer
fizeram,VERB,fazer
fizerem,VERB,fazer
fizer,VERB,fazer
fizessem,VERB,fazer
fizesse,VERB,fazer
fiz,VERB,fazer
flexíveis,ADJ,flexível
florais,ADJ,floral
florestais,ADJ,florestal
fluviais,ADJ,fluvial
force,VERB,forçar
formais,ADJ,formal
forneça,VERB,fornecer
fornecidas,VERB,fornecer
fortíssimo,ADJ,forte
fósseis,ADJ,fóssil
frágeis,ADJ,frágil
francesa,ADJ,francês
